Name = NACA 4412
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-133.0	-0.209	1.61451	-0.051	0.001	0.531	0.005	0.532	-0.130	0.298	0.005
-132.0	-0.199	1.68861	-0.052	0.001	0.531	0.005	0.532	-0.118	0.313	-0.010
-131.0	-0.190	1.84309	-0.053	0.001	0.531	0.005	0.532	-0.103	0.370	-0.027
-130.0	-0.181	1.90950	-0.054	0.001	0.531	0.006	0.532	-0.095	0.360	-0.048
-129.0	-0.173	1.99629	-0.054	0.001	0.531	0.006	0.532	-0.087	0.303	-0.064
-128.0	-0.166	2.09022	-0.055	0.001	0.531	0.006	0.532	-0.079	0.304	-0.081
-127.0	-0.159	2.19592	-0.055	0.001	0.531	0.006	0.532	-0.072	0.305	-0.098
-126.0	-0.152	2.31399	-0.056	0.001	0.531	0.006	0.532	-0.066	0.306	-0.115
-125.0	-0.146	2.42433	-0.056	0.001	0.531	0.006	0.532	-0.060	0.288	-0.132
-124.0	-0.141	2.43848	-0.056	0.001	0.531	0.006	0.532	-0.058	0.385	-0.147
-123.0	-0.136	1.91375	-0.057	0.001	0.531	0.007	0.532	-0.071	0.417	-0.172
-122.0	-0.131	2.01396	-0.058	0.001	0.531	0.007	0.532	-0.065	0.289	-0.190
-121.0	-0.126	2.03448	-0.058	0.001	0.531	0.007	0.532	-0.062	0.294	-0.206
-120.0	-0.122	2.14883	-0.058	0.001	0.531	0.007	0.535	-0.057	0.298	-0.224
-119.0	-0.119	2.16312	-0.058	0.001	0.531	0.007	0.538	-0.055	0.393	-0.239
-118.0	-0.115	2.19493	-0.059	0.001	0.531	0.008	0.541	-0.052	0.431	-0.263
-117.0	-0.112	2.33401	-0.059	0.001	0.531	0.008	0.543	-0.048	0.288	-0.280
-116.0	-0.109	2.37847	-0.059	0.001	0.533	0.008	0.546	-0.046	0.245	-0.295
-115.0	-0.106	2.42123	-0.059	0.001	0.534	0.008	0.549	-0.044	0.394	-0.310
-114.0	-0.103	2.49233	-0.060	0.000	0.536	0.009	0.551	-0.041	0.395	-0.333
-113.0	-0.101	2.55882	-0.060	0.000	0.537	0.009	0.554	-0.039	0.172	-0.347
-112.0	-0.098	2.50999	-0.060	0.000	0.538	0.009	0.557	-0.039	0.342	-0.358
-111.0	-0.096	2.60378	-0.060	0.000	0.540	0.009	0.559	-0.037	0.388	-0.379
-110.0	-0.094	2.68460	-0.060	0.000	0.541	0.009	0.561	-0.035	0.125	-0.391
-109.0	-0.092	2.65712	-0.060	0.000	0.542	0.009	0.564	-0.035	0.107	-0.401
-108.0	-0.090	2.74694	-0.060	0.000	0.544	0.009	0.567	-0.033	0.322	-0.411
-107.0	-0.089	2.74614	-0.060	0.000	0.545	0.010	0.570	-0.032	0.254	-0.428
-106.0	-0.087	2.73840	-0.060	0.000	0.546	0.009	0.573	-0.032	0.036	-0.435
-105.0	-0.086	2.84882	-0.060	0.000	0.547	0.009	0.576	-0.030	0.290	-0.444
-104.0	-0.084	2.87460	-0.060	0.000	0.548	0.010	0.579	-0.029	0.203	-0.459
-103.0	-0.083	2.88303	-0.059	0.000	0.550	0.010	0.582	-0.029	-0.153	-0.463
-102.0	-0.082	2.87683	-0.059	0.000	0.551	0.010	0.586	-0.029	0.152	-0.467
-101.0	-0.081	2.93040	-0.059	0.000	0.552	0.010	0.589	-0.028	0.128	-0.479
-100.0	-0.080	2.95492	-0.059	0.000	0.553	0.010	0.592	-0.027	0.084	-0.481
-99.0	-0.079	3.02965	-0.059	0.000	0.554	0.010	0.596	-0.026	0.051	-0.492
-98.0	-0.079	3.06873	-0.058	0.000	0.555	0.010	0.600	-0.026	-0.640	-0.492
-97.0	-0.078	2.94704	-0.058	0.000	0.556	0.010	0.604	-0.026	-0.204	-0.489
-96.0	-0.077	3.04978	-0.058	0.000	0.557	0.010	0.608	-0.025	-0.289	-0.497
-95.0	-0.077	2.95532	-0.057	0.000	0.558	0.010	0.612	-0.026	-0.421	-0.492
-94.0	-0.077	3.04022	-0.057	-0.000	0.559	0.010	0.617	-0.025	-1.032	-0.498
-93.0	-0.076	2.94849	-0.056	0.000	0.560	0.010	0.621	-0.026	-2.178	-0.486
-92.0	-0.076	2.93461	-0.056	0.000	0.561	0.010	0.625	-0.026	-1.537	-0.483
-91.0	-0.076	2.92899	-0.055	0.000	0.562	0.010	0.630	-0.026	-2.371	-0.480
-90.0	-0.076	2.93249	-0.055	0.000	0.563	0.010	0.635	-0.026	-4.103	-0.475
-89.0	-0.076	2.94564	-0.054	0.000	0.565	0.010	0.639	-0.026	-11.160	-0.469
-88.0	-0.075	2.96882	-0.054	0.000	0.566	0.010	0.643	-0.025	21.199	-0.463
-87.0	-0.076	2.84940	-0.053	0.000	0.567	0.010	0.648	-0.027	6.321	-0.454
-86.0	-0.076	2.88810	-0.053	0.000	0.569	0.010	0.652	-0.026	0.510	-0.446
-85.0	-0.065	3.34314	-0.056	0.518	0.002	0.561	0.016	-0.020	0.492	-0.603
-84.0	-0.066	3.35746	-0.055	0.517	0.002	0.558	0.016	-0.020	4.163	-0.590
-83.0	-0.066	3.24857	-0.054	0.516	0.002	0.554	0.016	-0.020	2.155	-0.574
-82.0	-0.066	3.35427	-0.054	0.515	0.002	0.551	0.016	-0.020	1.810	-0.568
-81.0	-0.066	3.25364	-0.053	0.514	0.002	0.548	0.016	-0.020	2.314	-0.551
-80.0	-0.067	3.29323	-0.053	0.513	0.002	0.545	0.016	-0.020	2.014	-0.535
-79.0	-0.067	3.21062	-0.052	0.512	0.002	0.542	0.016	-0.021	1.793	-0.517
-78.0	-0.068	3.26412	-0.051	0.511	0.002	0.539	0.016	-0.021	1.610	-0.500
-77.0	-0.069	3.19796	-0.050	0.510	0.002	0.536	0.016	-0.021	1.565	-0.481
-76.0	-0.069	3.14808	-0.049	0.509	0.002	0.533	0.016	-0.022	1.337	-0.461
-75.0	-0.070	3.22083	-0.049	0.508	0.002	0.530	0.016	-0.022	1.228	-0.443
-74.0	-0.071	3.17041	-0.048	0.506	0.002	0.528	0.015	-0.022	1.213	-0.424
-73.0	-0.072	3.12847	-0.047	0.505	0.002	0.525	0.015	-0.023	1.128	-0.403
-72.0	-0.073	3.09466	-0.046	0.504	0.002	0.523	0.015	-0.023	0.869	-0.383
-71.0	-0.074	3.01008	-0.046	0.502	0.002	0.521	0.015	-0.025	0.820	-0.368
-70.0	-0.075	2.98919	-0.045	0.501	0.002	0.518	0.015	-0.025	0.933	-0.347
-69.0	-0.076	2.97972	-0.044	0.501	0.002	0.514	0.015	-0.026	0.879	-0.327
-68.0	-0.078	2.98237	-0.043	0.501	0.002	0.511	0.015	-0.026	0.869	-0.306
-67.0	-0.079	2.86136	-0.042	0.501	0.002	0.508	0.014	-0.028	0.816	-0.284
-66.0	-0.081	2.86356	-0.041	0.501	0.002	0.506	0.014	-0.028	0.624	-0.264
-65.0	-0.082	2.81434	-0.041	0.501	0.002	0.503	0.015	-0.029	0.619	-0.248
-64.0	-0.084	2.71871	-0.040	0.501	0.002	0.502	0.014	-0.031	0.703	-0.227
-63.0	-0.086	2.64675	-0.039	0.501	0.002	0.502	0.014	-0.032	0.633	-0.207
-62.0	-0.088	2.67863	-0.039	0.501	0.002	0.502	0.014	-0.033	0.603	-0.188
-61.0	-0.090	2.60785	-0.038	0.501	0.002	0.502	0.013	-0.035	0.523	-0.169
-60.0	-0.093	2.48865	-0.037	0.501	0.002	0.502	0.013	-0.037	0.523	-0.153
-59.0	-0.095	3.27482	-0.036	0.501	0.002	0.502	0.013	-0.029	0.501	-0.133
-58.0	-0.098	2.44421	-0.036	0.501	0.002	0.501	0.013	-0.040	0.495	-0.118
-57.0	-0.101	3.02160	-0.035	0.501	0.002	0.502	0.012	-0.033	0.475	-0.098
-56.0	-0.104	2.96244	-0.035	0.501	0.002	0.502	0.012	-0.035	0.438	-0.084
-55.0	-0.107	2.86843	-0.034	0.501	0.002	0.502	0.012	-0.037	0.436	-0.066
-54.0	-0.111	2.70071	-0.033	0.501	0.002	0.502	0.012	-0.041	0.420	-0.051
-53.0	-0.115	2.59741	-0.033	0.501	0.002	0.502	0.011	-0.044	0.431	-0.035
-52.0	-0.119	2.56755	-0.032	0.501	0.002	0.502	0.011	-0.046	0.377	-0.019
-51.0	-0.123	2.40970	-0.032	0.501	0.002	0.502	0.011	-0.051	0.377	-0.006
-50.0	-0.128	2.36185	-0.031	0.501	0.002	0.502	0.010	-0.054	0.364	0.009
-49.0	-0.133	2.21345	-0.030	0.501	0.002	0.502	0.010	-0.060	-0.051	0.021
-48.0	-0.138	2.09389	-0.034	1.000	0.003	1.000	0.010	-0.066	-0.040	0.005
-47.0	-0.144	2.03996	-0.034	1.000	0.003	1.000	0.010	-0.071	0.325	0.016
-46.0	-0.151	1.90372	-0.033	1.000	0.003	1.000	0.009	-0.079	0.326	0.031
-45.0	-0.157	1.80774	-0.033	1.000	0.003	1.000	0.009	-0.087	0.317	0.042
-44.0	-0.165	1.74114	-0.032	1.000	0.003	1.000	0.009	-0.095	0.327	0.055
-43.0	-0.173	1.67534	-0.032	1.000	0.003	1.000	0.009	-0.103	0.303	0.068
-42.0	-0.181	1.54531	-0.031	1.000	0.003	1.000	0.009	-0.117	0.312	0.078
-41.0	-0.191	1.45805	-0.030	1.000	0.003	1.000	0.008	-0.131	0.298	0.091
-40.0	-0.201	1.39356	-0.030	1.000	0.003	1.000	0.008	-0.144	0.272	0.099
-39.0	-0.212	1.35423	-0.030	1.000	0.003	1.000	0.008	-0.156	0.300	0.109
-38.0	-0.224	1.23461	-0.029	1.000	0.003	1.000	0.007	-0.181	0.289	0.120
-37.0	-0.236	1.17667	-0.029	1.000	0.003	1.000	0.007	-0.201	0.268	0.127
-36.0	-0.250	1.12001	-0.029	1.000	0.003	1.000	0.007	-0.224	0.265	0.135
-35.0	-0.265	1.02791	-0.029	0.995	0.003	1.000	0.007	-0.258	0.262	0.142
-34.0	-0.282	0.98180	-0.028	0.993	0.003	1.000	0.007	-0.287	0.277	0.150
-33.0	-0.300	0.95168	-0.028	0.992	0.003	1.000	0.006	-0.315	0.270	0.158
-32.0	-0.319	0.89922	-0.028	0.990	0.003	1.000	0.006	-0.355	0.259	0.164
-31.0	-0.340	0.81200	-0.027	0.988	0.003	1.000	0.006	-0.419	0.261	0.170
-30.0	-0.362	0.74010	-0.027	0.987	0.003	1.000	0.006	-0.490	0.253	0.175
-29.0	-0.387	0.69427	-0.027	0.985	0.003	1.000	0.006	-0.557	0.252	0.180
-28.0	-0.413	0.62816	-0.027	0.984	0.003	1.000	0.006	-0.657	0.249	0.185
-27.0	-0.441	0.56382	-0.027	0.981	0.003	1.000	0.006	-0.782	0.248	0.188
-26.0	-0.470	0.51729	-0.027	0.978	0.003	1.000	0.006	-0.910	0.243	0.192
-25.0	-0.501	0.46461	-0.028	0.976	0.003	1.000	0.006	-1.079	0.237	0.195
-24.0	-0.529	0.42788	-0.028	0.973	0.004	1.000	0.006	-1.236	0.241	0.197
-23.0	-0.557	0.38466	-0.028	0.970	0.004	0.996	0.006	-1.448	0.235	0.200
-22.0	-0.585	0.34091	-0.029	0.966	0.004	0.994	0.007	-1.715	0.230	0.201
-21.0	-0.611	0.30800	-0.029	0.962	0.004	0.992	0.007	-1.984	0.231	0.202
-20.0	-0.636	0.27354	-0.030	0.957	0.004	0.991	0.008	-2.325	0.223	0.203
-19.0	-0.657	0.24580	-0.030	0.952	0.004	0.990	0.008	-2.675	0.220	0.204
-18.0	-0.675	0.21859	-0.031	0.945	0.004	0.989	0.009	-3.086	0.213	0.204
-17.0	-0.686	0.19359	-0.031	0.938	0.005	0.988	0.009	-3.542	0.159	0.204
-16.0	-0.689	0.17097	-0.032	0.930	0.005	0.986	0.010	-4.032	1.008	0.203
-15.0	-0.684	0.15114	-0.033	0.921	0.006	0.986	0.010	-4.525	0.310	0.202
-14.0	-0.668	0.13327	-0.033	0.911	0.006	0.985	0.011	-5.013	0.280	0.200
-13.0	-0.641	0.11652	-0.034	0.900	0.007	0.984	0.011	-5.501	0.275	0.197
-12.0	-0.602	0.10204	-0.035	0.887	0.008	0.983	0.012	-5.900	0.275	0.192
-11.0	-0.552	0.08926	-0.036	0.873	0.008	0.983	0.014	-6.179	0.276	0.184
-10.0	-0.490	0.07857	-0.038	0.857	0.009	0.982	0.016	-6.237	0.275	0.173
-9.0	-0.419	0.06902	-0.040	0.839	0.010	0.982	0.019	-6.067	0.276	0.155
-8.0	-0.339	0.06067	-0.042	0.818	0.012	0.983	0.023	-5.588	0.280	0.127
-7.0	-0.252	0.05363	-0.045	0.795	0.015	0.983	0.030	-4.704	0.300	0.073
-6.0	-0.162	0.04740	-0.051	0.769	0.018	0.984	0.051	-3.412	0.535	-0.063
-5.0	-0.083	0.01644	-0.093	0.739	0.024	0.984	1.000	-5.023	0.470	-0.876
-4.0	0.037	0.01604	-0.094	0.704	0.035	0.985	1.000	2.291	0.261	2.816
-3.0	0.157	0.01571	-0.096	0.665	0.056	0.986	1.000	10.017	0.262	0.858
-2.0	0.278	0.01542	-0.097	0.618	0.106	0.986	1.000	18.029	0.262	0.599
-1.0	0.399	0.01536	-0.099	0.559	0.192	0.987	1.000	25.952	0.262	0.497
-0.0	0.519	0.01448	-0.100	0.482	0.902	0.987	1.000	35.822	0.262	0.443
1.0	0.637	0.01427	-0.101	0.427	0.940	0.984	1.000	44.636	0.262	0.409
2.0	0.756	0.01702	-0.103	0.407	0.960	0.977	1.000	44.401	0.262	0.386
3.0	0.873	0.01786	-0.104	0.389	0.972	0.968	1.000	48.879	0.262	0.369
4.0	0.988	0.01871	-0.106	0.373	0.982	0.957	1.000	52.795	0.262	0.357
5.0	1.099	0.01963	-0.107	0.345	1.000	0.945	1.000	55.976	0.262	0.347
6.0	1.205	0.02118	-0.108	0.309	1.000	0.931	1.000	56.899	0.262	0.340
7.0	1.305	0.02328	-0.109	0.255	1.000	0.915	1.000	56.060	0.261	0.334
8.0	1.390	0.02950	-0.110	0.027	1.000	0.882	1.000	47.117	0.260	0.329
9.0	1.463	0.03281	-0.111	0.013	1.000	0.846	1.000	44.577	0.258	0.326
10.0	1.519	0.03671	-0.111	0.010	1.000	0.798	1.000	41.373	0.231	0.323
11.0	1.539	0.04356	-0.110	0.007	1.000	0.684	1.000	35.327	0.583	0.321
12.0	1.355	0.09485	-0.057	0.006	1.000	0.024	1.000	14.289	0.577	0.292
13.0	1.365	0.10806	-0.053	0.005	1.000	0.015	1.000	12.629	-1.331	0.289
14.0	1.359	0.12308	-0.051	0.004	1.000	0.012	1.000	11.045	0.382	0.287
15.0	1.339	0.13998	-0.049	0.003	1.000	0.010	1.000	9.569	0.300	0.287
16.0	1.306	0.15829	-0.048	0.003	1.000	0.008	1.000	8.250	0.282	0.287
17.0	1.261	0.17822	-0.047	0.003	1.000	0.006	1.000	7.075	0.262	0.287
18.0	1.207	0.20035	-0.047	0.002	1.000	0.006	1.000	6.026	0.253	0.289
19.0	1.148	0.22656	-0.047	0.002	1.000	0.005	1.000	5.065	0.248	0.291
20.0	1.084	0.25410	-0.047	0.002	1.000	0.005	1.000	4.266	0.246	0.293
21.0	1.019	0.28439	-0.047	0.002	1.000	0.005	1.000	3.583	0.250	0.296
22.0	0.954	0.31487	-0.047	0.001	1.000	0.005	1.000	3.029	0.251	0.299
23.0	0.890	0.35573	-0.047	0.001	1.000	0.004	1.000	2.502	0.249	0.303
24.0	0.829	0.38911	-0.047	0.001	1.000	0.004	1.000	2.130	0.250	0.307
25.0	0.771	0.43459	-0.047	0.001	1.000	0.004	1.000	1.773	0.251	0.311
26.0	0.716	0.48245	-0.047	0.001	1.000	0.004	1.000	1.484	0.252	0.315
27.0	0.665	0.53190	-0.047	0.001	1.000	0.003	1.000	1.251	0.250	0.320
28.0	0.618	0.58233	-0.047	0.001	1.000	0.003	1.000	1.061	0.259	0.326
29.0	0.574	0.62731	-0.046	0.001	1.000	0.003	1.000	0.916	0.256	0.330
30.0	0.534	0.69908	-0.046	0.001	1.000	0.003	1.000	0.764	0.255	0.337
31.0	0.498	0.75991	-0.046	0.001	1.000	0.002	1.000	0.655	0.256	0.342
32.0	0.464	0.82678	-0.046	0.001	1.000	0.002	1.000	0.561	0.251	0.349
33.0	0.433	0.90729	-0.045	0.001	1.000	0.002	1.000	0.477	0.236	0.355
34.0	0.405	0.95425	-0.047	0.001	1.000	0.002	1.000	0.424	0.208	0.366
35.0	0.379	1.00662	-0.048	0.001	1.000	0.003	1.000	0.377	0.206	0.376
36.0	0.356	1.09427	-0.049	0.001	1.000	0.003	1.000	0.325	0.203	0.388
37.0	0.334	1.15090	-0.050	0.001	1.000	0.003	1.000	0.290	0.203	0.399
38.0	0.313	1.24451	-0.051	0.001	1.000	0.003	1.000	0.251	0.202	0.413
39.0	0.293	1.34382	-0.052	0.001	1.000	0.003	1.000	0.218	0.200	0.427
40.0	0.275	1.41189	-0.053	0.001	1.000	0.004	1.000	0.195	0.186	0.443
41.0	0.259	1.52651	-0.054	0.001	1.000	0.004	1.000	0.169	0.205	0.459
42.0	0.244	1.58161	-0.054	0.001	1.000	0.004	1.000	0.154	0.202	0.473
43.0	0.230	1.66974	-0.055	0.001	1.000	0.004	1.000	0.138	0.174	0.491
44.0	0.217	1.78715	-0.056	0.001	1.000	0.004	1.000	0.121	0.183	0.510
45.0	0.206	1.86101	-0.057	0.001	1.000	0.004	1.000	0.110	0.502	0.527
46.0	0.195	1.96776	-0.051	0.001	0.531	0.005	0.532	0.099	0.529	0.511
47.0	0.185	2.05121	-0.051	0.001	0.531	0.005	0.532	0.090	0.196	0.527
48.0	0.176	2.13813	-0.052	0.001	0.531	0.005	0.532	0.082	0.179	0.544
49.0	0.168	2.30522	-0.053	0.001	0.531	0.005	0.532	0.073	0.114	0.563
50.0	0.160	2.38370	-0.054	0.001	0.531	0.006	0.532	0.067	0.125	0.587
51.0	0.153	2.48306	-0.054	0.001	0.531	0.006	0.532	0.062	0.190	0.606
52.0	0.146	2.58943	-0.055	0.001	0.531	0.006	0.532	0.057	0.189	0.624
53.0	0.140	2.70745	-0.055	0.001	0.531	0.006	0.532	0.052	0.188	0.643
54.0	0.135	2.83762	-0.056	0.001	0.531	0.006	0.532	0.047	0.187	0.662
55.0	0.129	2.96004	-0.056	0.001	0.531	0.006	0.532	0.044	0.207	0.682
56.0	0.124	2.98620	-0.056	0.001	0.531	0.006	0.532	0.042	0.097	0.699
57.0	0.120	2.47225	-0.057	0.001	0.531	0.007	0.532	0.049	0.061	0.728
58.0	0.116	2.58384	-0.058	0.001	0.531	0.007	0.532	0.045	0.206	0.748
59.0	0.112	2.61620	-0.058	0.001	0.531	0.007	0.532	0.043	0.201	0.766
60.0	0.108	2.74329	-0.058	0.001	0.531	0.007	0.535	0.039	0.196	0.786
61.0	0.105	2.77054	-0.058	0.001	0.531	0.007	0.538	0.038	0.091	0.804
62.0	0.102	2.81414	-0.059	0.001	0.531	0.008	0.541	0.036	0.049	0.831
63.0	0.099	2.96552	-0.059	0.001	0.531	0.008	0.543	0.033	0.207	0.851
64.0	0.096	3.02231	-0.059	0.001	0.533	0.008	0.546	0.032	0.255	0.869
65.0	0.093	3.07700	-0.059	0.001	0.534	0.008	0.549	0.030	0.089	0.886
66.0	0.091	3.15873	-0.060	0.000	0.536	0.009	0.551	0.029	0.088	0.912
67.0	0.089	3.23644	-0.060	0.000	0.537	0.009	0.554	0.027	0.337	0.928
68.0	0.086	3.19897	-0.060	0.000	0.538	0.009	0.557	0.027	0.147	0.941
69.0	0.084	3.30231	-0.060	0.000	0.540	0.009	0.559	0.026	0.096	0.965
70.0	0.083	3.39343	-0.060	0.000	0.541	0.009	0.561	0.024	0.388	0.980
71.0	0.081	3.37653	-0.060	0.000	0.542	0.009	0.564	0.024	0.407	0.991
72.0	0.079	3.47631	-0.060	0.000	0.544	0.009	0.567	0.023	0.171	1.003
73.0	0.078	3.48427	-0.060	0.000	0.545	0.010	0.570	0.022	0.245	1.023
74.0	0.076	3.48638	-0.060	0.000	0.546	0.009	0.573	0.022	0.484	1.032
75.0	0.075	3.60582	-0.060	0.000	0.547	0.009	0.576	0.021	0.206	1.042
76.0	0.074	3.63935	-0.060	0.000	0.548	0.010	0.579	0.020	0.302	1.059
77.0	0.073	3.65646	-0.059	0.000	0.550	0.010	0.582	0.020	0.686	1.065
78.0	0.072	3.65851	-0.059	0.000	0.551	0.010	0.586	0.020	0.357	1.070
79.0	0.071	3.71872	-0.059	0.000	0.552	0.010	0.589	0.019	0.382	1.085
80.0	0.070	3.75080	-0.059	0.000	0.553	0.010	0.592	0.019	0.428	1.088
81.0	0.069	3.83142	-0.059	0.000	0.554	0.010	0.596	0.018	0.461	1.100
82.0	0.069	3.87748	-0.058	0.000	0.555	0.010	0.600	0.018	1.176	1.101
83.0	0.068	3.76260	-0.058	0.000	0.556	0.010	0.604	0.018	0.722	1.099
84.0	0.067	3.87014	-0.058	0.000	0.557	0.010	0.608	0.017	0.802	1.108
85.0	0.067	3.78167	-0.057	0.000	0.558	0.010	0.612	0.018	0.918	1.103
86.0	0.067	3.87086	-0.057	-0.000	0.559	0.010	0.617	0.017	1.489	1.111
87.0	0.066	3.78470	-0.056	0.000	0.560	0.010	0.621	0.017	2.519	1.099
88.0	0.066	3.77464	-0.056	0.000	0.561	0.010	0.625	0.017	1.823	1.096
89.0	0.066	3.77295	-0.055	0.000	0.562	0.010	0.630	0.017	2.300	1.092
90.0	0.065	3.77966	-0.055	0.000	0.563	0.010	0.635	0.017	3.201	1.088
91.0	0.065	3.79515	-0.054	0.000	0.565	0.010	0.639	0.017	5.149	1.082
92.0	0.065	3.82011	-0.054	0.000	0.566	0.010	0.643	0.017	14.436	1.076
93.0	0.065	3.70237	-0.053	0.000	0.567	0.010	0.648	0.018	-30.455	1.066
94.0	0.065	3.74173	-0.053	0.000	0.569	0.010	0.652	0.017	0.538	1.057
95.0	0.074	2.57013	-0.056	0.518	0.002	0.561	0.016	0.029	0.514	1.001
96.0	0.074	2.58928	-0.055	0.517	0.002	0.558	0.016	0.029	-4.266	0.990
97.0	0.075	2.48547	-0.054	0.516	0.002	0.554	0.016	0.030	-1.842	0.977
98.0	0.075	2.59830	-0.054	0.515	0.002	0.551	0.016	0.029	-1.390	0.972
99.0	0.075	2.50364	-0.053	0.514	0.002	0.548	0.016	0.030	-1.822	0.957
100.0	0.076	2.54965	-0.053	0.513	0.002	0.545	0.016	0.030	-1.476	0.944
101.0	0.076	2.47348	-0.052	0.512	0.002	0.542	0.016	0.031	-1.241	0.928
102.0	0.077	2.53424	-0.051	0.511	0.002	0.539	0.016	0.030	-1.049	0.914
